"Date","day","Open.hk","High.hk","Low.hk","Close.hk","Adj.Close.hk","Volume.hk","Open.ny.lag","High.ny.lag","Low.ny.lag","Close.ny.lag","Adj.Close.ny.lag","Volume.ny.lag"
2000-01-03,"Monday","111.000000","111.500000","107.500000","108.000000",57.750343,"3908164",71.4375,71.5,70.3125,70.6875,26.83976,59500
2000-01-04,"Tuesday","106.000000","106.500000","105.000000","106.000000",56.680889,"6895378",67.0625,68,66,66.375,25.202332,84500
2000-01-05,"Wednesday","101.000000","102.000000","99.500000","100.500000",53.739887,"14657098",64.75,66.3125,63.75,66,25.059946,118200
2000-01-06,"Thursday","101.000000","102.000000","96.250000","97.000000",51.868355,"10632084",64,64.375,63.1875,64.125,24.348024,105400
2000-01-07,"Friday","98.500000","101.000000","97.500000","100.500000",53.739887,"8368286",63.75,65.9375,63.375,65.9375,25.036217,117700
2000-01-10,"Monday","103.000000","103.000000","99.500000","100.000000",53.472546,"6201139",63.75,66,63.375,66,25.059946,61400
2000-01-11,"Tuesday","100.000000","100.000000","97.500000","98.000000",52.403069,"8366294",62.75,63.5,62.3125,62.625,23.778475,103200
2000-01-12,"Wednesday","95.750000","97.000000","95.750000","96.250000",51.467331,"7369722",63,63.375,62.75,63.375,24.063248,47300
2000-01-13,"Thursday","97.000000","97.250000","95.500000","96.750000",51.734676,"5281865",63.375,64.625,62.9375,64.25,24.395479,50000
2000-01-14,"Friday","97.750000","98.250000","96.000000","96.750000",51.734676,"5930363",63.0625,64,62.75,63.875,24.25309,66700
2000-01-17,"Monday","98.500000","98.500000","96.000000","96.500000",51.601013,"4628898",63.0625,64,62.75,63.875,24.25309,66700
2000-01-18,"Tuesday","96.500000","96.500000","95.000000","96.000000",51.333649,"3157976",62.25,63.3125,61.625,63.1875,23.99205,128200
2000-01-19,"Wednesday","94.500000","96.000000","93.000000","93.250000",49.863152,"13908521",59.375,61.875,59.25,61.0625,23.185204,226700
2000-01-20,"Thursday","92.750000","93.750000","91.250000","91.500000",48.927387,"10790069",59.25,59.25,57.75,57.875,21.974911,237900
2000-01-21,"Friday","89.750000","91.000000","89.500000","90.500000",48.392658,"15114204",60.1875,60.75,59.125,59.125,22.449533,167100
2000-01-24,"Monday","93.000000","93.500000","91.750000","92.750000",49.595776,"11414778",61,61,59.125,59.5625,22.615648,106800
2000-01-25,"Tuesday","91.500000","92.000000","89.750000","90.500000",48.392658,"13997737",58.9375,59.125,58.5,59,22.402079,71700
2000-01-26,"Wednesday","91.000000","92.000000","90.500000","91.250000",48.79369,"7499739",59,60.125,59,60.125,22.829227,62400
2000-01-27,"Thursday","91.500000","93.500000","91.500000","92.750000",49.595776,"7140986",62.0625,62.5625,61.375,61.625,23.398779,84400
2000-01-28,"Friday","95.000000","95.500000","94.500000","94.750000",50.665215,"11642131",59.8125,60.75,59.8125,60,22.781769,64200
2000-01-31,"Monday","92.500000","92.750000","91.500000","92.250000",49.328419,"8232734",59.25,61.125,58.75,61.125,23.208927,58200
2000-02-01,"Tuesday","92.500000","93.000000","91.750000","92.000000",49.194748,"8027696",59,59.75,58.5,59.75,22.686852,69900
2000-02-02,"Wednesday","91.250000","93.500000","91.000000","91.500000",48.927387,"9805418",58.5,59.1875,58.25,59,22.402079,84600
2000-02-03,"Thursday","91.250000","92.000000","90.250000","91.250000",48.79369,"10432032",59.75,60,59.375,59.8125,22.710573,38600
2000-02-04,"Friday","91.250000","92.000000","90.250000","91.250000",48.79369,"0",57.25,57.75,56.5,57.5,21.832537,235100
2000-02-07,"Monday","91.250000","92.000000","90.250000","91.250000",48.79369,"0",56.875,57.5,56.125,57.125,21.690144,112700
2000-02-08,"Tuesday","89.250000","90.000000","88.250000","89.000000",47.590569,"19295358",57.5625,59.25,57.5625,58.9375,22.378345,104000
2000-02-09,"Wednesday","90.250000","91.500000","89.000000","90.750000",48.526325,"12382961",59,59,58.125,58.5,22.212217,104100
2000-02-10,"Thursday","89.500000","90.750000","89.500000","89.750000",47.991619,"9652102",58.625,58.75,57.5,58,22.022377,97000
2000-02-11,"Friday","90.000000","91.500000","88.750000","90.250000",48.258957,"19089385",56,56.375,55.5,55.875,21.215528,170700
2000-02-14,"Monday","88.000000","89.000000","86.500000","87.500000",46.788479,"26168879",55.875,56.0625,55.5625,55.875,21.215528,85300
2000-02-15,"Tuesday","87.000000","88.000000","86.250000","87.750000",46.922153,"18810191",56.375,57.25,56.375,57.25,21.737619,135500
2000-02-16,"Wednesday","89.000000","93.500000","88.750000","92.500000",49.462101,"17841441",59.75,60.875,59.75,60.3125,22.900431,114500
2000-02-17,"Thursday","92.000000","94.250000","92.000000","93.000000",49.729465,"10789190",62,62.25,60.625,60.6875,23.042812,61200
2000-02-18,"Friday","93.000000","93.500000","90.500000","91.250000",48.79369,"10116832",59,59,57.9375,58,22.022377,60300
2000-02-21,"Monday","90.000000","91.000000","88.500000","89.500000",47.857906,"8839331",59,59,57.9375,58,22.022377,60300
2000-02-22,"Tuesday","88.750000","89.000000","88.000000","88.750000",47.456898,"11567491",57,57.375,55.875,57.375,21.78507,130100
2000-02-23,"Wednesday","87.750000","88.750000","87.500000","88.250000",47.189518,"15418845",57,58.25,56.75,58,22.022377,57900
2000-02-24,"Thursday","89.000000","90.500000","88.750000","90.250000",48.258957,"8222217",58.375,59,57.6875,57.875,21.974911,61700
2000-02-25,"Friday","91.000000","91.000000","89.000000","89.500000",47.857906,"5538684",57.625,58.375,57.5,57.75,21.92746,52100
2000-02-28,"Monday","89.500000","89.750000","87.000000","89.000000",47.590569,"14537673",57,59,56.6875,58.8125,22.330883,84800
2000-02-29,"Tuesday","90.000000","90.000000","88.750000","89.250000",47.724251,"7043558",58.5625,59.75,58.4375,59.5,22.591928,87000
2000-03-01,"Wednesday","90.250000","90.500000","88.250000","89.250000",47.724251,"11562599",57.1875,58.375,57.1875,58.1875,22.093571,86200
2000-03-02,"Thursday","89.250000","89.250000","87.250000","88.000000",47.055836,"8791949",56.75,58.375,56.625,58.375,22.164762,106800
2000-03-03,"Friday","87.500000","88.250000","87.000000","87.250000",46.654797,"10539867",56.125,57.375,56.125,57,21.642683,110200
2000-03-06,"Monday","87.500000","88.000000","86.500000","86.500000",46.253742,"12136705",55.375,56.25,55.125,55.875,21.215528,267200
2000-03-07,"Tuesday","85.250000","86.250000","85.000000","85.500000",45.719006,"11561868",55.875,56.015625,55,55.375,21.025667,221100
2000-03-08,"Wednesday","84.250000","88.750000","84.250000","87.750000",46.922153,"18341869",56.75,57.375,56.4375,57.375,21.78507,140500
2000-03-09,"Thursday","88.750000","89.250000","87.500000","88.000000",47.055836,"10370819",56.5,57.75,55.75,57.375,21.78507,69200
2000-03-10,"Friday","87.750000","88.250000","87.250000","87.750000",46.922153,"7541900",56.5,60,56.5,59.625,22.639387,165800
